,Standard_beran,Standard_beran_test_mode,True_proba,True_proba_test_mode,Prior_proba,Prior_proba_test_mode,LogisticRegression,LogisticRegression_test_mode,NN_BCE,NN_BCE_test_mode
0,4.799711364254455e-05,4.3973968545492906e-05,4.187573452442574e-05,3.449704538395664e-05,3.663971821058305e-05,3.271041901919951e-05,3.578743253843088e-05,4.171278024378432e-05,3.451356737252143e-05,4.13728220355066e-05
1,3.126799064490655e-05,5.6628092429342345e-05,1.9695090177688112e-05,3.287711963330278e-05,2.4101701118889815e-05,3.137688429215948e-05,2.2161080509959542e-05,2.5282206250226346e-05,2.2157639189283267e-05,2.5578867769202325e-05
2,0.0001584348381064917,4.2913825172074544e-05,0.00010145555443138601,2.5917142956248953e-05,0.0001251516741853008,1.8385225759468582e-05,0.0001123227418689008,2.3418516768261167e-05,0.00011518947705376837,3.755701649068967e-05
3,5.561453109665899e-05,0.00010446310474825436,1.876709958304508e-05,0.0001120760219457295,3.255495921883874e-05,7.15838503636756e-05,3.6469649304530186e-05,0.00013026328209071156,3.854652387792386e-05,0.00013302029035403598
4,0.00011944233296681624,2.9374203980436092e-05,7.180203461615798e-05,2.202483929285838e-05,9.88656500716789e-05,2.803860657606945e-05,0.00011149093697981687,3.7814563132383316e-05,0.00011081480696671845,3.776377586621604e-05
5,4.198666135094467e-05,4.941411574117447e-05,1.662464523015604e-05,3.438577635100586e-05,2.2303661903848232e-05,3.84196198561807e-05,3.1773798873932185e-05,4.399763197897291e-05,3.375799343549348e-05,4.3458231461019726e-05
6,6.893850114039249e-05,2.9263588184505757e-05,8.611091040014268e-05,3.6687167407120985e-05,5.889465732735132e-05,3.3355247290224764e-05,7.080320026873681e-05,3.5936452711996366e-05,7.188747973195845e-05,3.805140101786717e-05
7,2.9508772455253356e-05,0.00010968631245335497,1.7887567017763017e-05,2.0553702140512647e-05,1.849847054733799e-05,1.9180604122542518e-05,1.9756303935385505e-05,2.3900138701353227e-05,1.6890718114607447e-05,2.2417760956420447e-05
8,0.0001380721275333673,2.857266469532113e-05,0.00019474635182649186,2.0714309161004935e-05,0.00021087803197276128,2.4582506210073733e-05,0.00016555857544666686,1.9794980586443435e-05,0.00017122209174941209,1.9193691631468284e-05
9,4.182326938192405e-05,1.6846829435498167e-05,5.6814417248170986e-05,2.1479208036009564e-05,5.386431769475579e-05,2.3539637472885466e-05,3.1842105362682986e-05,2.0298714241922162e-05,3.25687221736334e-05,2.1170707928866846e-05
10,2.9489254534471454e-05,0.00013187848148722028,1.618871463542247e-05,4.05993872389224e-05,1.9835290616461525e-05,4.720762737591642e-05,2.3029414797722824e-05,4.908419375770485e-05,2.228429306562303e-05,5.0030874858229494e-05
11,4.380880931014462e-05,4.867767199267918e-05,3.2527762792475616e-05,7.384662100064927e-05,3.806151868042474e-05,7.70015112171402e-05,3.2456574166740495e-05,7.257687810256945e-05,3.259934627895546e-05,7.319134412031991e-05
12,4.933266044851206e-05,1.9269485352566827e-05,7.434219664768601e-05,1.8589760099492202e-05,5.540195061441936e-05,1.8358057169448343e-05,4.801892969947214e-05,2.5040792185466663e-05,5.074073101801587e-05,2.6701427448049e-05
13,9.742789743688651e-05,5.375084346224372e-05,9.774283975263897e-05,1.3101765983413657e-05,8.367303876718216e-05,1.4874063421286294e-05,8.555678342054303e-05,1.1694068428070603e-05,8.55566562593136e-05,1.1374285635199814e-05
14,0.0001833661803938699,4.592834599033291e-05,4.3369061923138395e-05,3.7607452966027264e-05,4.6530072182315026e-05,4.424224402616268e-05,5.7424047146123686e-05,4.0886829523617244e-05,6.165872825590503e-05,6.933032597520319e-05
15,5.341157883010274e-05,3.33353984693105e-05,4.1713914962138645e-05,2.339512744241977e-05,4.4279093630330825e-05,3.158469841736482e-05,2.8432105545524677e-05,1.8297658744528724e-05,2.7992607898051584e-05,1.9820994526228616e-05
16,4.392175055214918e-05,4.053807877271376e-05,2.979792746032135e-05,3.8440932316305495e-05,3.658355013893576e-05,4.0159164450523646e-05,3.1509552143655944e-05,4.910200754018414e-05,2.9985010574289825e-05,4.658474598073334e-05
17,3.7617133597760664e-05,4.1520244288473214e-05,1.5775978645075477e-05,1.829195103392831e-05,1.5071854319779396e-05,1.1028748752678332e-05,2.9779101389861144e-05,3.788935255185923e-05,3.0225840986767607e-05,3.8923538953933165e-05
18,7.347894524309355e-05,5.648120983310266e-05,7.377236475195729e-05,5.155555698182879e-05,7.523907464709638e-05,4.082755945573444e-05,7.388119219833259e-05,4.7297883345102534e-05,7.541805971400398e-05,4.8159408042419966e-05
19,0.00022361205850875466,3.200529238636864e-05,0.000129957079342705,1.3843491098048252e-05,0.00013070434705871764,1.2709591719293001e-05,0.0002128009028955953,3.824882802113361e-05,0.0002165693508883773,3.857044889081439e-05
20,1.824089669850639e-05,5.2210786852205405e-05,1.2012068115469234e-05,9.503995819156164e-05,1.2073222909518927e-05,6.63511673283605e-05,1.8395688639451536e-05,8.374631597541472e-05,1.9375367069978044e-05,8.60710455691671e-05
21,4.062325985593201e-05,0.0005987078412171819,2.1474312150623503e-05,0.00018406525010996984,2.474668192414225e-05,0.00019232013216621976,2.3986236351603193e-05,0.00017562184972465692,2.6278342573323927e-05,0.00017291138233849985
22,5.433358162303038e-05,3.365745147704842e-05,2.0975544743136824e-05,3.169670450981515e-05,2.2281122037675225e-05,2.7548490158033317e-05,1.822943017787535e-05,4.372390227770323e-05,1.8439626563918083e-05,4.461809924696219e-05
23,4.760478824234824e-05,0.00021231742285655563,4.960454476922761e-05,0.000169685082361052,5.662163652657745e-05,0.00017933962980240927,5.9452336377039476e-05,0.00018337647607901206,5.804767214547594e-05,0.00018233339815342661
24,6.133156859769669e-05,2.9459274508847928e-05,9.536803727889817e-05,1.7426358963825348e-05,8.002026217805819e-05,2.376519075101704e-05,9.063218070947239e-05,1.7807779527132572e-05,9.556849439585815e-05,1.8266084412779227e-05
25,9.297281904616549e-05,0.00013327973669414743,4.7555004264845965e-05,7.387315995054877e-05,6.318943637996921e-05,0.00011825341404583685,5.5107004344489726e-05,7.844951783334853e-05,5.415549428477118e-05,7.773615330407239e-05
26,1.187796120897142e-05,0.00010704184763903532,1.5318846226244478e-05,6.339240570711115e-05,1.52278850291518e-05,8.276441869299803e-05,1.766056344386594e-05,2.822713145740076e-05,1.8025224656944412e-05,2.8999839397462472e-05
27,2.5431459267620307e-05,0.0001079909331896385,2.278580498067789e-05,7.755735906286993e-05,2.1650464627569255e-05,9.941647161245155e-05,2.5672867784259348e-05,7.467321703028175e-05,2.537483258237232e-05,7.387596421957996e-05
28,6.26253310137393e-05,6.48291345313712e-05,3.1790491497605174e-05,7.535418951920743e-05,3.660081548358953e-05,7.221086198318534e-05,3.255717308202024e-05,7.38026788897363e-05,3.486764320009619e-05,3.6884840066106394e-05
29,0.00027016647913998145,7.193764875066158e-05,8.85873943999753e-05,5.668034858372863e-05,8.810434692651533e-05,6.52752794266333e-05,0.00010976256378616873,8.616136670976605e-05,0.00011343301716708826,9.354207554906321e-05
30,2.616330621304752e-05,5.151579407950984e-05,2.8061273793164455e-05,5.810484462970368e-05,3.321053839293973e-05,3.7257284839530806e-05,1.5133785847033001e-05,7.285104287142472e-05,1.4957976347756587e-05,7.041861865085158e-05
31,0.00026065932639518616,5.2968193014278515e-05,0.00024216839588060539,3.428588366274948e-05,0.00032185802866762297,4.202024185463026e-05,0.0002639319762751488,8.184154216202699e-05,0.00026462475620771237,7.970868544199798e-05
32,8.515373461360045e-05,0.00016689205781658922,0.00017990509609735428,4.248688771795263e-05,0.00018289875819445164,5.550430510075943e-05,0.0001925038299982909,4.051391239119564e-05,0.0001974098442525075,4.2139668020505195e-05
33,4.720901646632458e-05,4.489008959112684e-05,3.061978502304877e-05,5.3631760680147684e-05,3.447565386227916e-05,4.3433574454411966e-05,2.809768039017404e-05,4.729706712651251e-05,2.7990229378857923e-05,4.3882583586958676e-05
34,0.00020272730987323594,3.7722212847165344e-05,0.00010164642270145047,0.0001996029980975648,0.00010771971737437204,0.0002282020561489942,0.00012805567624273338,4.722771627733748e-05,0.00015397740565797042,0.00022216340627941963
