,Standard_beran,True_proba,LogisticRegression,NN_BCE,RandomForest,KNN
0,6.188660250142825e-05,1.6636240386761862e-05,5.130188133763068e-05,5.1900836677495537e-05,6.215870813317898e-05,6.128963201416492e-05
1,0.00013819923098263944,6.597634744950787e-05,7.364777259497548e-05,7.726656966329928e-05,0.00013953618328257713,0.00013731352499388787
2,4.164820560407801e-05,5.478265157771496e-05,5.012627654675527e-05,5.106136677419634e-05,3.951596327144204e-05,6.849131713778494e-05
3,2.822115052101391e-05,3.5235875589859654e-05,1.9140780899421064e-05,1.9214769110590268e-05,2.70646486356381e-05,3.1792493541733804e-05
4,5.093718861169947e-05,5.099357352484906e-05,5.286633382358254e-05,5.529764061772027e-05,5.0896429530347984e-05,0.00010451848237672906
5,7.890859474483132e-05,2.9466695179185995e-05,3.307269950961643e-05,3.84961368300011e-05,5.2818225737243976e-05,5.2766692045587424e-05
6,2.5346464770539143e-05,5.255422542240844e-05,4.8313073527612706e-05,4.58819197568346e-05,2.4003088462647998e-05,6.829684521631106e-05
7,3.2765814602865084e-05,2.1137684407958923e-05,2.8437458532897137e-05,2.991003263641355e-05,2.9826190460303543e-05,2.913119836972577e-05
8,7.063767021318003e-05,2.983948619929764e-05,2.965956776591123e-05,2.940936116068483e-05,6.186427709447619e-05,5.248771794531029e-05
9,6.706719956617482e-05,2.5464848978815677e-05,2.4637280595919138e-05,2.5139164692068388e-05,3.575431522122156e-05,3.7788673528854154e-05
10,6.28245139339776e-05,5.7934215357032606e-05,5.055958814926051e-05,5.041494818432069e-05,7.134479283354299e-05,0.00015545614324551186
11,6.089761445445963e-05,2.4021331274982888e-05,5.019091996972696e-05,3.80030880642366e-05,4.2811736534709505e-05,8.659252263870465e-05
12,3.836010250872457e-05,1.551685724161082e-05,1.98511418633647e-05,1.9658805115597208e-05,2.1237668857432412e-05,2.3375124090207682e-05
13,6.378877403966179e-05,5.3380748887830594e-05,4.806980685278464e-05,4.753174865194749e-05,3.2313898733492365e-05,5.209333518089001e-05
14,3.616134086375318e-05,2.6485882132538485e-05,3.179196730946005e-05,3.282942923116039e-05,3.527012934138954e-05,3.772227463184527e-05
15,0.00012534989684382983,9.309894713345116e-05,9.801729652074794e-05,9.778142861297885e-05,0.00012937639185229307,0.00012227247114689947
16,0.00019406023932538074,4.969264353502135e-05,0.00010409100460712382,0.00011123031374713402,0.00014522326440285973,0.0001387646139274876
17,0.00011054826726963512,0.00011735432129941885,6.726464832023975e-05,6.883515590612983e-05,8.635261165240558e-05,8.529531232364583e-05
18,7.287975637327123e-05,5.252681307955812e-05,7.066374789156764e-05,6.880517675244066e-05,6.804730381584777e-05,6.184498035340815e-05
19,5.3811004536066256e-05,4.001940779682725e-05,5.18503576838775e-05,5.245591799119821e-05,5.292236435403563e-05,0.000285811149009055
20,0.00019924916943440116,8.153066980148881e-05,9.007500058985249e-05,9.178064815529152e-05,0.00011930383072528254,0.00013553449467265742
21,6.003323324789625e-05,4.0271331420679144e-05,5.74391819765216e-05,5.778863035036893e-05,5.9264634046301126e-05,5.272744184264376e-05
22,1.649065594597681e-05,9.723836415053036e-06,7.569177031009876e-06,8.234557325536395e-06,1.4911550897265333e-05,1.3686352496673796e-05
23,5.027634945628533e-05,1.8233246277238044e-05,2.4554329771363607e-05,2.675324802976217e-05,4.885916399620001e-05,4.05637367821681e-05
24,3.078198636718678e-05,4.019616118474756e-05,3.410805135407504e-05,3.218858137394123e-05,2.6370338875115096e-05,2.4815387210681052e-05
25,5.04400171507617e-05,6.0177379268976485e-05,5.4520497659772854e-05,5.4111245608437475e-05,4.9759797254435276e-05,5.0424891756882595e-05
26,3.454200237215125e-05,1.8125899265381527e-05,2.0910311281396257e-05,1.9418962551521554e-05,3.141611437036453e-05,4.207217023203854e-05
27,2.2805951306793478e-05,1.2739294565660419e-05,1.5594529175447036e-05,1.1416567338915177e-05,2.2153669200886446e-05,2.0481419349396925e-05
28,7.188251923322221e-05,4.060759922426102e-05,6.541820564529898e-05,6.464320117252273e-05,7.318008674074978e-05,0.00010406639755163571
29,4.717399911912897e-05,3.0345935085271328e-05,3.13160227536458e-05,3.188453333382668e-05,4.6580091171286664e-05,5.408724005884402e-05
30,6.690624550133561e-05,2.480224786063453e-05,2.250790462651575e-05,2.2683866328694047e-05,3.900992873346563e-05,3.58801617767836e-05
31,1.9961219747598618e-05,1.2224104611104876e-05,1.3219854496228632e-05,1.3362724598246835e-05,1.8952475583415057e-05,1.7373551313887464e-05
32,0.00013199572139227573,8.711832633739357e-05,0.00011993151708192874,0.00011581512914826148,0.00012083640730165128,0.00013185576659411897
33,2.5249636156196492e-05,1.4434368034920478e-05,1.5061208977029277e-05,1.5160608624976222e-05,2.3672714591566383e-05,2.9503123019917406e-05
34,3.29380506427049e-05,5.9073984353776714e-05,6.999668355817329e-05,7.459675707700009e-05,5.656523058668361e-05,5.3725254256913556e-05
35,4.6260195093197796e-05,2.428954708887479e-05,4.658900231009746e-05,4.54838505838313e-05,4.147603578361714e-05,4.0850685142995523e-05
36,7.9983821050171e-05,6.882976936523214e-05,4.314210699417056e-05,4.4453893298526895e-05,0.00012135024076833689,0.00012166558391800138
37,7.583050878335987e-05,7.095509112301044e-05,4.7830533478237586e-05,4.520486257886416e-05,4.818839744620345e-05,5.0022677255913206e-05
38,9.415752798821137e-05,3.100616456846761e-05,2.5563762439739598e-05,2.427673721426802e-05,6.887858363133068e-05,0.0001633319874348312
39,5.3845624896924486e-05,6.82493305244355e-05,7.27751009704941e-05,7.275534682127563e-05,7.712310738721118e-05,7.640381871873084e-05
40,1.8742976937129647e-05,1.5375262962107992e-05,1.0892408780060605e-05,1.0679665188562507e-05,1.753146124022409e-05,1.5238431306679483e-05
41,0.00013435389200730055,4.249363514277547e-05,9.752710058720117e-05,9.961218313725716e-05,0.00014019249394454927,0.00018508622886668233
42,0.0001245901786824284,8.95942503014733e-05,7.490215463086137e-05,7.627610546714405e-05,0.00011782875999407125,0.0001144790408099641
