,Standard_beran,True_proba,NN_BCE,NN_MSEloss,DecisionTree,KNN,LogisticRegression
0,2.051527121730269e-05,2.1468571114816882e-05,3.0049845611155753e-05,3.26409720661447e-05,2.6445978289479094e-05,2.996811799664649e-05,1.804909528173914e-05
1,5.1905401968637783e-05,6.129241066239928e-05,5.431310712298473e-05,5.3595454631928e-05,5.181333778903348e-05,4.99110190260409e-05,7.246070946888248e-05
2,2.7038689602843363e-05,3.003828291821309e-05,2.6638450003878187e-05,2.6633472799020475e-05,2.489416428884487e-05,2.575582010850369e-05,3.120117217822213e-05
3,3.695781066547528e-05,3.695502816187048e-05,4.354208389169609e-05,3.900683222935605e-05,4.308874538306604e-05,3.993012289415738e-05,2.8815855588677646e-05
4,6.770903187603233e-05,3.7975357987993776e-05,4.162671876334891e-05,4.4155010247491224e-05,3.454117622579225e-05,3.919967574403306e-05,2.8201454371008845e-05
5,1.4719361750289208e-05,1.0247519441926006e-05,1.174789849879909e-05,1.1268659288420821e-05,1.2188623661981773e-05,1.3668943189035478e-05,1.392896382582908e-05
6,2.3431328497531893e-05,3.2061246187875516e-05,2.3608963417950907e-05,2.8626371803817646e-05,2.71536765904983e-05,2.6548901678275414e-05,2.6254868191982512e-05
7,2.575161773241295e-05,3.8654658360559137e-05,3.1509261782383896e-05,3.2190898968067665e-05,2.7131307482672833e-05,2.5519542822505065e-05,3.032178694671682e-05
8,3.2390901683166304e-05,2.276978578179369e-05,2.8017340084523842e-05,2.7742848640985555e-05,3.595230267086662e-05,2.7461993204087598e-05,2.7350709224231393e-05
9,7.748683043463482e-05,6.14081077988912e-05,8.558444747280393e-05,7.56525280445998e-05,8.342068976722471e-05,8.257506888239487e-05,5.6368877270230485e-05
10,1.8476691082893207e-05,1.534047143145597e-05,1.4962654957462888e-05,1.7222220788487355e-05,1.86093016007397e-05,1.75100159708817e-05,1.72232003875024e-05
11,0.00013544474593711505,0.00017489255739370368,0.00025756832028683136,0.0002549783802335156,0.00034686298481393464,0.0003058695589167902,0.0002060588884718965
12,3.419584212071575e-05,2.6618445488168004e-05,2.775200779516518e-05,2.280956990632809e-05,2.5480683556374067e-05,3.4542917174341604e-05,2.355109084696135e-05
13,2.6503733505107836e-05,4.607212390932258e-05,3.9959072357079185e-05,4.0817584421463865e-05,4.4514796770288915e-05,5.6301360354199194e-05,3.592840441861992e-05
14,2.5991641985503067e-05,1.0769788575025388e-05,2.747854433740845e-05,2.491780804922071e-05,2.8715642074279546e-05,2.7659156118634653e-05,1.5392589547147487e-05
15,5.0666679911010074e-05,7.096523289401958e-05,5.9983684411640085e-05,6.0846395652141176e-05,7.268796478879146e-05,6.928996221552063e-05,6.780551370709344e-05
16,7.738487054193097e-05,7.072661584376299e-05,7.429510551658933e-05,7.191219594177174e-05,6.308384705748167e-05,7.96388158047924e-05,6.791400555710976e-05
17,5.151672850592973e-05,3.460553974752088e-05,3.588168029673497e-05,2.6160617102932404e-05,7.412970160827841e-05,3.8048619702044555e-05,3.987933828120263e-05
18,0.00035187783950537364,0.00022505321518668256,0.00027367666121410624,0.00026443873848213106,0.00027856912524178216,0.00038202437635277757,0.00022661636083974983
19,2.1526458689886414e-05,2.8440877592619305e-05,3.1923003015205096e-05,2.9651024027181525e-05,3.0907611045881944e-05,3.373235335975666e-05,3.243740801637561e-05
20,2.2443045204569246e-05,2.115432869100335e-05,1.7925733775749603e-05,1.8489884839573372e-05,2.001283624128966e-05,1.8129658855382678e-05,1.89938837461137e-05
21,3.1705141769196265e-05,1.4397229023651224e-05,2.3914362779105525e-05,2.7753407620009127e-05,3.557905837798298e-05,2.806307706639664e-05,1.931111061746367e-05
22,1.7933409202990732e-05,1.908165295806957e-05,1.8090517018216604e-05,1.7669732634169714e-05,1.8223896982706415e-05,1.5855584243205494e-05,1.271192117524492e-05
23,7.359033391308099e-05,4.751524444728018e-05,6.663609083952879e-05,5.818466471896384e-05,6.893990760874171e-05,7.09918956343762e-05,5.154101854499592e-05
24,9.607727688748666e-05,6.654000637113258e-05,7.769067535464666e-05,8.490788896839758e-05,6.952767846851268e-05,0.0001027285412327698,6.747835116748961e-05
25,5.1388775276705786e-05,4.584757917560984e-05,5.708889861600362e-05,6.509849877874703e-05,6.350528896549848e-05,6.155195246267203e-05,4.6349978839383286e-05
26,2.084859018238699e-05,5.000117074899703e-05,2.5519212437038244e-05,2.5304540665549736e-05,2.9258015451930757e-05,2.359205758422188e-05,3.6115264808625564e-05
27,5.171418598195663e-05,8.050050824623136e-05,5.1587153537466384e-05,4.9817198764453106e-05,5.1423066629544776e-05,5.654615227564786e-05,4.641392106624766e-05
28,4.152902336176e-05,2.3170758366246916e-05,2.554091579877187e-05,2.5308977426110043e-05,2.2052197794392618e-05,2.440162947243994e-05,3.3540275713042716e-05
29,2.7978011280869734e-05,1.0663948947718504e-05,3.0168111703353066e-05,3.407406142921191e-05,2.926311949047298e-05,3.0671005461417476e-05,2.2152972025908606e-05
30,3.0130832240848686e-05,1.5886541260722206e-05,2.2637945979903928e-05,2.2271074120631735e-05,2.639662979250817e-05,2.2483526930711146e-05,2.3365574331363772e-05
31,0.00011331032568697196,6.386054777522336e-05,6.605026230607387e-05,6.501843659726289e-05,7.410622463298996e-05,6.961658210611803e-05,6.061961058536671e-05
32,6.735876459845934e-05,3.0659781487857715e-05,6.353165770358522e-05,6.769784895758643e-05,6.60942493765728e-05,5.967333967614244e-05,4.5269565854613264e-05
33,0.0001899574566195896,0.00014774057072418332,0.0001492628823300647,0.00014673656770897365,0.00019492706580161357,0.000174126436827,0.00013147485263741108
34,0.000376987329013748,0.0001416880652920635,0.00023891570618623533,0.00025973382566469775,0.00027986003672387616,0.00023918850373515045,0.0001666074466728775
