,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
0,2.100821205375825e-05,4.727839503114843e-05,4.216390811933455e-05,3.747144452429316e-05,3.874053773488875e-05,3.854622589691517e-05,7.620821946582374e-05
1,3.1545383561466365e-05,1.6047524055576973e-05,1.5450864619186983e-05,1.4748325239309163e-05,1.5034245886041322e-05,1.5139307398407317e-05,9.441814338585247e-05
2,2.022022522117175e-05,1.656801806498421e-05,1.6351386389443346e-05,1.4726814246531119e-05,1.3834266207013576e-05,1.5222594571125316e-05,6.160837685934658e-05
3,2.3239372724257947e-05,1.144762922687966e-05,1.2507718179990042e-05,1.100513239865252e-05,1.0159723789444258e-05,1.4005400468003823e-05,1.975665342101531e-05
4,7.796113911150546e-05,4.6245210547141674e-05,5.817207526126285e-05,6.0566444236536895e-05,5.795715639764214e-05,5.420546587883074e-05,8.046578992354378e-05
5,2.444515496434316e-05,2.8104800761308743e-05,3.259316022630609e-05,2.0066090198073596e-05,2.1526672927790896e-05,3.582755672427821e-05,2.2549000332210737e-05
6,6.0510892910527806e-05,3.604335781380481e-05,4.2130920469690816e-05,4.930159842611997e-05,5.148296787426992e-05,4.2984105604070804e-05,5.282704784095103e-05
7,0.00012095475541621737,8.258361872393655e-05,8.747401342642962e-05,9.672657266605101e-05,9.995264144864413e-05,8.843743392018586e-05,0.00011944083808515117
8,5.565362302003416e-05,3.426289838955803e-05,5.1498247693283555e-05,4.579405995389564e-05,4.5184594273542444e-05,4.656000867403278e-05,5.8274581577781937e-05
9,0.00011155177746669442,0.00010214068110403536,0.00010801605869406522,3.043208033167753e-05,0.00011552233327305638,9.752655988987498e-05,0.0001298749991851291
10,8.71136470865265e-05,5.409525941370217e-05,5.749486743494086e-05,6.518285587213267e-05,6.454385905583625e-05,5.3042887849083266e-05,8.400709965331376e-05
11,3.191691020907658e-05,1.924006246456349e-05,2.145828105214173e-05,2.3069569519405474e-05,2.3185457422079353e-05,2.2521956524101672e-05,4.340935232730726e-05
