,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_cdf_0.3,NN_mise_0.3,NN_with_delta_cdf_0.3,NN_with_delta_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_cdf_0.5,NN_mise_0.5,NN_with_delta_cdf_0.5,NN_with_delta_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_cdf_0.7,NN_mise_0.7,NN_with_delta_cdf_0.7,NN_with_delta_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,-0.6629139202251484,5.296400890797409e-07,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,0.0,2.8051862396040024e-13,1.1633691840880802e-07,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,0.0,1.353427858485768e-14,2.189583230496324e-08,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16,0.0,4.79427472327072e-16
1,-0.6313276405408721,8.985094293073087e-07,0.0,8.073191945541511e-13,0.0,8.073191945541511e-13,0.0,8.073191945541511e-13,0.0,8.073191945541511e-13,7.691706939705334e-09,8.526594077748748e-13,7.691706939705334e-09,8.526594077748748e-13,0.0,8.073191945541511e-13,0.0,8.073191945541511e-13,0.0,8.073191945541511e-13,2.0329158086552717e-07,0.0,4.132746685080488e-14,0.0,4.132746685080488e-14,0.0,4.132746685080488e-14,0.0,4.132746685080488e-14,1.4345169961116344e-07,2.0561392542598817e-11,1.4345169961116344e-07,2.0561392542598817e-11,0.0,4.132746685080488e-14,0.0,4.132746685080488e-14,0.0,4.132746685080488e-14,3.946699555415315e-08,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15,0.0,1.557643738071566e-15
2,-0.5997413608565958,1.5080643715256865e-06,0.0,2.2742581486651827e-12,0.0,2.2742581486651827e-12,0.0,2.2742581486651827e-12,0.0,2.2742581486651827e-12,7.691706939705334e-09,2.310221325927524e-12,7.691706939705334e-09,2.310221325927524e-12,0.0,2.2742581486651827e-12,0.0,2.2742581486651827e-12,0.0,2.2742581486651827e-12,3.5144787595407e-07,0.0,1.235156095126252e-13,0.0,1.235156095126252e-13,0.0,1.235156095126252e-13,0.0,1.235156095126252e-13,1.4345169961116344e-07,2.060107414058319e-11,1.4345169961116344e-07,2.060107414058319e-11,0.0,1.235156095126252e-13,0.0,1.235156095126252e-13,0.0,1.235156095126252e-13,7.037720923701868e-08,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15,0.0,4.9529515799912135e-15
3,-0.5681550811723195,2.5042566795084095e-06,0.0,6.271301516862358e-12,0.0,6.271301516862358e-12,0.0,6.271301516862358e-12,0.0,6.271301516862358e-12,7.691706939705334e-09,6.291939855547512e-12,7.691706939705334e-09,6.291939855547512e-12,0.0,6.271301516862358e-12,0.0,6.271301516862358e-12,0.0,6.271301516862358e-12,6.011012082313189e-07,0.0,3.613226625371489e-13,0.0,3.613226625371489e-13,0.0,3.613226625371489e-13,0.0,3.613226625371489e-13,1.4345169961116344e-07,2.0767254803950222e-11,1.4345169961116344e-07,2.0767254803950222e-11,0.0,3.613226625371489e-13,0.0,3.613226625371489e-13,0.0,3.613226625371489e-13,1.2415383093805138e-07,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14,0.0,1.541417373659456e-14
4,-0.5365688014880432,4.114396322771323e-06,3.0145129017784544e-06,6.713542364721836e-09,2.760311216559064e-06,7.613532240724447e-09,5.50716677402141e-08,1.9507972354044344e-11,2.878154800837307e-06,8.183276406456972e-09,2.3878040893191567e-06,4.098216618930396e-09,2.9521322508645474e-06,6.654031674858153e-09,1.9015828374624455e-06,2.2659542014164075e-09,6.912208951710408e-07,3.7005952940420697e-10,3.7263163540403044e-06,1.3871698742879875e-08,1.0171503689540525e-06,1.3054937143190948e-06,1.7026926661733594e-09,1.1028871468811152e-06,1.2151510494919041e-09,2.1986087545666778e-08,1.4732566045112441e-12,1.3287120115673678e-06,1.7638072047308691e-09,1.0755445279969632e-06,8.69744913717298e-10,1.458964751412939e-06,1.7230592371742753e-09,8.071199640271587e-07,5.39526343225367e-10,2.7399239614456226e-07,7.554904508444291e-11,1.8642116470996006e-06,3.4725272929255616e-09,2.1668222874342098e-07,1.2513772522204647e-08,1.9812266675050157e-13,0.0,4.695118825321528e-14,0.0,4.695118825321528e-14,0.0,4.695118825321528e-14,0.0,4.695118825321528e-14,1.2513772522204647e-08,1.9812266675050157e-13,7.004826738432613e-09,9.298314294938678e-14,0.0,4.695118825321528e-14,1.7742158132993958e-08,3.5404654273542457e-13
5,-0.5049825218037669,6.688191221466783e-06,5.391200871451285e-06,1.0122534144288217e-08,2.763355501472109e-06,7.627095481733771e-09,1.9557333030284507e-07,6.48692226756339e-11,4.667046792959706e-06,1.1329248471450829e-08,3.075488870472043e-06,4.577440451272392e-09,5.305042941844418e-06,1.0123916124765923e-08,2.182975060796011e-06,2.359386851074323e-09,7.956196971475871e-07,4.038076840428638e-10,6.414272116805897e-06,2.1069471897860443e-08,1.702862702162185e-06,2.7617244032340783e-06,3.3042673329017145e-09,1.2016619039975084e-06,1.2249237223075191e-09,2.183821494734506e-07,3.0687036490469714e-11,2.6228357024495884e-06,3.3457827696682366e-09,1.4261286415999664e-06,9.918502594198616e-10,2.9848658658774285e-06,3.3627363259007554e-09,1.055513564745203e-06,5.775215258669722e-10,3.457490255364126e-07,7.852809392263915e-11,3.686892010301812e-06,6.787791971184685e-09,3.7413365118536203e-07,1.3115627457915836e-07,1.4274473834252656e-11,0.0,1.3997598894928925e-13,2.056140454009814e-08,5.473619189026778e-13,1.3920390659705183e-07,1.4534628908276232e-11,0.0,1.3997598894928925e-13,1.4632416146020955e-07,1.4493188992889865e-11,4.815381695377763e-08,1.846251055616522e-12,1.3171942572332007e-08,3.036199261425132e-13,1.8096196292338717e-07,2.6960056920151177e-11
6,-0.4733962421194905,1.0757066378837843e-05,1.0589251659475107e-05,3.705754491310427e-08,9.577946542550286e-06,5.396763160068948e-08,1.0508671743661991e-06,8.473869253939221e-10,5.52234063702306e-06,1.2075378439590792e-08,4.652790222251068e-06,7.07384517672272e-09,7.906302204600535e-06,1.6862313500118543e-08,4.266006536906009e-06,6.702368452542149e-09,2.4043576548203884e-06,3.021742919329504e-09,6.414272116805897e-06,2.1088256728186852e-08,2.8205731256993044e-06,6.639271514531475e-06,1.571656964263024e-08,6.4328551178882695e-06,2.8563165908679944e-08,8.429725145903122e-07,3.6651179643352865e-10,3.2137850973340542e-06,3.6743257922580444e-09,2.757787070432394e-06,2.1557174892018942e-09,4.93494837636721e-06,6.4656379673739306e-09,2.6839634500056555e-06,2.4703925643639977e-09,1.6531546063658365e-06,1.6040220381886093e-09,3.686892010301812e-06,6.784606107298957e-09,6.391106382364243e-07,1.2150336985686794e-06,6.934252616118749e-10,0.0,4.0846240790696367e-13,1.7221242875964381e-07,1.3098834706482509e-11,2.3517106556891765e-07,1.9274419885964607e-11,1.0169542952657152e-06,5.163211597024267e-10,7.097907262372249e-07,2.0084722522178835e-10,9.498019129169366e-07,4.1158718927811763e-10,1.628010303121874e-07,2.2762730636120212e-11,1.8096196292338717e-07,2.7132641827696208e-11
7,-0.4418099624352142,1.7118644027415952e-05,3.247459832729327e-05,1.521931400018494e-07,4.037244159501352e-05,3.169652254691268e-07,5.88327222582119e-06,1.152093973248695e-08,1.9209237472248563e-05,7.362420275919823e-08,2.52943898047574e-05,1.4941830852163455e-07,2.435852598686117e-05,8.335726031754692e-08,1.6783868424903425e-05,4.759217084438363e-08,8.957655535887565e-06,1.5057092739961858e-08,2.032278108782004e-05,1.1787531798327771e-07,4.622373503553767e-06,1.774046748813407e-05,4.904318262139053e-08,1.939611318008705e-05,7.678290885064379e-08,3.030482147683533e-06,2.2982100280781484e-09,1.1021880969127484e-05,2.843703992296865e-08,7.40662194601005e-06,7.975409046918356e-09,1.248947714313553e-05,2.2523619623089742e-08,8.163294832541856e-06,1.0605706904969106e-08,4.3800404436041825e-06,3.9270340861650605e-09,1.1132540601858642e-05,3.607272531530106e-08,1.080132128019912e-06,1.659721827259153e-06,8.831520444750385e-10,0.0,1.1666854139808455e-12,2.5874904746092663e-07,2.100680336080691e-11,3.294274841773026e-07,2.716977481949108e-11,1.8036074974205895e-06,9.659374710476796e-10,1.5247739100503476e-06,5.621771303059765e-10,1.6278916552864287e-06,7.16089428948294e-10,2.107253108879492e-07,2.5378205511071365e-11,5.850367374014009e-07,1.8163523272082948e-10
8,-0.4102236827509379,2.6955251486983204e-05,4.4018497687331794e-05,2.0097092722595608e-07,5.175599637707307e-05,3.705441181456328e-07,7.686820907617076e-06,1.286848591334503e-08,2.6456372631971092e-05,9.434252655343655e-08,3.231634689594543e-05,1.658204178566207e-07,3.305945954660605e-05,1.0535081711140536e-07,2.1285683152111656e-05,5.2960049726573644e-08,1.1994571893146343e-05,1.82883445738424e-08,2.925369895875174e-05,1.6280214417741584e-07,7.494966390575001e-06,2.2295973007023574e-05,5.708214693759807e-08,2.3039352609474206e-05,8.391705583577975e-08,3.591958247530003e-06,2.39054965209804e-09,1.280924569167885e-05,2.9511669405738023e-08,9.630669238029466e-06,9.184340987304335e-09,1.5740596824789678e-05,2.518574537604158e-08,1.0844142068609286e-05,1.2951694248267447e-08,5.242282132435272e-06,4.137033919879762e-09,1.3458784739451945e-05,3.885980203963345e-08,1.8060732094692114e-06,4.603580969967713e-06,9.538510540830876e-09,2.94385914270856e-06,8.658934902286186e-09,5.470362676550655e-07,1.0479453093532677e-10,6.177147043714415e-07,1.1085488563244047e-10,2.987479355115008e-06,2.2330837265060377e-09,2.9289712181974627e-06,2.2368813491038928e-09,3.555144124284815e-06,4.161745584213138e-09,6.834652289773314e-07,2.4894289656785146e-10,5.850367374014009e-07,1.8288104334115036e-10
9,-0.3786374030666616,4.199760849397016e-05,5.268101044567897e-05,2.411263818904211e-07,6.035998829894595e-05,4.239355675440574e-07,9.003326070944561e-06,1.516560575722252e-08,2.8812192886903178e-05,9.654169919461214e-08,3.800236988708639e-05,1.8101406400402055e-07,3.919762197015897e-05,1.2062056009061336e-07,2.7095938071661664e-05,6.846854659461231e-08,1.4266692273151583e-05,2.1428406962999128e-08,3.1434574722486674e-05,1.6527868400510745e-07,1.202427095179125e-05,2.9121827498727826e-05,6.926141778948003e-08,2.835428163558118e-05,9.40628212292935e-08,4.170497968972398e-06,2.673679039194146e-09,1.6073228557355933e-05,3.5216055844358815e-08,1.379127201802166e-05,1.309694316613034e-08,2.1643814812156826e-05,3.362232061351522e-08,1.4402926898391289e-05,1.5674873096038388e-08,6.591245909141397e-06,4.620365456535607e-09,1.7432090464521767e-05,4.7254607186407e-08,2.9878433874305565e-06,8.875111537702596e-06,1.8555238229290108e-08,6.8112940517316425e-06,1.613098366378988e-08,6.352129965967457e-07,1.1253387388306583e-10,4.485149613394523e-06,7.588401583389587e-09,5.226943024015607e-06,4.362599683293058e-09,7.134888956178753e-06,1.0983288623023751e-08,6.186122877244515e-06,7.1740658929302955e-09,1.4570188156061147e-06,5.611354985845618e-10,6.989081429556454e-06,1.9489142073594953e-08
