,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_cdf_0.3,NN_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_cdf_0.5,NN_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_cdf_0.7,NN_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,-0.37022446685448407,4.717856467904307e-05,0.0,2.2258169651746506e-09,0.0,2.2258169651746506e-09,0.0,2.2258169651746506e-09,0.0,2.2258169651746506e-09,0.0,2.2258169651746506e-09,0.0,2.2258169651746506e-09,0.0,2.2258169651746506e-09,1.3613181657451083e-05,0.0,1.853187148387626e-10,0.0,1.853187148387626e-10,0.0,1.853187148387626e-10,0.0,1.853187148387626e-10,0.0,1.853187148387626e-10,0.0,1.853187148387626e-10,0.0,1.853187148387626e-10,3.4104089640085088e-06,0.0,1.163088930178959e-11,0.0,1.163088930178959e-11,0.0,1.163088930178959e-11,0.0,1.163088930178959e-11,0.0,1.163088930178959e-11,0.0,1.163088930178959e-11,0.0,1.163088930178959e-11
1,-0.34639488767581833,6.532498198239426e-05,0.00012425779574878337,1.4243307477754117e-07,4.9399508661041035e-05,2.2216423804079547e-08,3.50613606413086e-05,1.1979577866855753e-08,0.00010962949057264914,1.1013051631039105e-07,7.400359431389836e-05,4.9364106054384967e-08,3.4144381626943775e-05,1.1464779008703703e-08,0.00021906167754998096,4.5552713870314746e-07,1.92690637174913e-05,6.146245438967135e-05,3.5778981912837094e-08,1.632418586864359e-05,2.406983704010842e-09,1.9031835402538722e-05,3.2599531063773506e-09,6.438792161530537e-05,3.934795138745153e-08,4.3460815133278266e-05,1.7584822905004135e-08,1.853404649856394e-05,3.0921381668104916e-09,0.0001154810838162379,1.2927967928583829e-07,4.940238588616149e-06,0.0,2.4405957312452085e-11,0.0,2.4405957312452085e-11,0.0,2.4405957312452085e-11,6.538870012218201e-06,3.87367011758706e-10,4.413217359078292e-06,1.7556613850261332e-10,0.0,2.4405957312452085e-11,0.0,2.4405957312452085e-11
2,-0.3225653084971526,8.991053724084756e-05,0.00012425779574878337,1.4013973240612823e-07,4.9399508661041035e-05,2.3603946540164312e-08,3.50613606413086e-05,1.4072123263826545e-08,0.00010962949057264914,1.0855646394946885e-07,7.400359431389836e-05,4.954181857566567e-08,3.4144381626943775e-05,1.3602413282131512e-08,0.00021906167754998096,4.4857218418225595e-07,2.7110893410313882e-05,6.146245438967135e-05,3.51787294381404e-08,1.632418586864359e-05,2.514664458055735e-09,1.9031835402538722e-05,3.3251680073969325e-09,6.438792161530537e-05,3.8701816881244124e-08,4.3460815133278266e-05,1.726690200878796e-08,1.853404649856394e-05,3.165160219445967e-09,0.0001154810838162379,1.278322170267359e-07,7.113096430929128e-06,0.0,5.059614083569669e-11,0.0,5.059614083569669e-11,0.0,5.059614083569669e-11,6.538870012218201e-06,3.8514112531012363e-10,4.413217359078292e-06,1.8257773412884786e-10,0.0,5.059614083569669e-11,0.0,5.059614083569669e-11
3,-0.29873572931848685,0.00012301072300019547,0.00012425779574878337,1.3896155342955756e-07,4.9399508661041035e-05,2.7381413980055347e-08,3.50613606413086e-05,1.8798781429513918e-08,0.00010962949057264914,1.0834668421024709e-07,7.400359431389836e-05,5.169048640445974e-08,3.4144381626943775e-05,1.838977579924468e-08,0.00021906167754998096,4.411179530090315e-07,3.791517138270649e-05,6.146245438967135e-05,3.455317423343199e-08,1.632418586864359e-05,2.864482053934682e-09,1.9031835402538722e-05,3.616477206843834e-09,6.438792161530537e-05,3.801304655432596e-08,4.3460815133278266e-05,1.7030336233049153e-08,1.853404649856394e-05,3.4672259182731015e-09,0.0001154810838162379,1.2603939724600292e-07,1.0179863855389437e-05,0.0,1.0362962811426429e-10,0.0,1.0362962811426429e-10,0.0,1.0362962811426429e-10,6.538870012218201e-06,3.980682254961889e-10,4.413217359078292e-06,2.0854259893964734e-10,0.0,1.0362962811426429e-10,0.0,1.0362962811426429e-10
4,-0.2749061501398211,0.0001672942418926703,0.00014256216902247543,1.38038202244954e-07,4.9399508661041035e-05,3.5861971227327445e-08,3.50613606413086e-05,2.854922597421586e-08,0.00010962949057264914,1.1149285037376699e-07,0.00010489023847403134,5.71974651040416e-08,3.9332733876329405e-05,2.675466153713073e-08,0.00021906167754998096,4.345720345336404e-07,5.270746007471318e-05,7.60054032441837e-05,3.4657279443490844e-08,1.632418586864359e-05,3.722054040420257e-09,1.9031835402538722e-05,4.393944526165102e-09,6.438792161530537e-05,3.744867323124964e-08,6.380272321750979e-05,1.9078674139800872e-08,2.2656172030299793e-05,3.994805767164953e-09,0.0001154810838162379,1.2396345431199915e-07,1.4481083789351192e-05,0.0,2.0970178771420988e-10,0.0,2.0970178771420988e-10,0.0,2.0970178771420988e-10,6.538870012218201e-06,4.4789014901185913e-10,4.413217359078292e-06,2.766503215840457e-10,0.0,2.0970178771420988e-10,0.0,2.0970178771420988e-10
5,-0.2510765709611554,0.00022616709724690765,0.00014256216902247543,1.4441631083990982e-07,4.9399508661041035e-05,5.320958347803262e-08,3.50613606413086e-05,4.7585093653747743e-08,0.00010962949057264914,1.217486405983313e-07,0.00010489023847403134,6.801128193518429e-08,3.9332733876329405e-05,4.5287593339403926e-08,0.00021906167754998096,4.319426541281758e-07,7.283247824529434e-05,7.60054032441837e-05,3.412455274061153e-08,1.632418586864359e-05,5.591498505791254e-09,1.9031835402538722e-05,6.154405999397687e-09,6.438792161530537e-05,3.738355058612547e-08,6.380272321750979e-05,1.9037105751454766e-08,2.2656172030299793e-05,5.609387559417549e-09,0.0001154810838162379,1.2184183003150254e-07,2.0475732513633558e-05,0.0,4.1925562196987054e-10,0.0,4.1925562196987054e-10,0.0,4.1925562196987054e-10,6.538870012218201e-06,5.790475257135357e-10,4.413217359078292e-06,4.3329278021654744e-10,0.0,4.1925562196987054e-10,0.0,4.1925562196987054e-10
6,-0.22724699178248964,0.0003039437697811995,0.00014256216902247543,1.6347054787994552e-07,4.9399508661041035e-05,8.67555839727778e-08,3.50613606413086e-05,8.336144103505079e-08,0.00010962949057264914,1.4592566593330556e-07,0.00010489023847403134,9.292551378722186e-08,3.9332733876329405e-05,8.03995143259631e-08,0.00021906167754998096,4.390971367206557e-07,0.0001000405942544171,9.786104339517542e-05,3.5095963301525965e-08,3.817982601963532e-05,9.810536038544415e-09,2.244524469886544e-05,9.255870481192064e-09,8.726740964135616e-05,3.924030768237619e-08,8.662813223523358e-05,2.0911810576677925e-08,2.9372485804124436e-05,8.187355321816688e-09,0.0001154810838162379,1.2026133519226535e-07,2.877800742682877e-05,4.033183927586448e-05,1.4773406364763269e-08,4.033183927586448e-05,1.4773406364763269e-08,5.703964476977408e-06,8.252283548431667e-10,4.47690532158207e-05,1.3294482707761617e-08,4.255304486789901e-05,1.3120219327584136e-08,1.1223145918737299e-05,1.4418042013876987e-09,0.0,8.281737114586119e-10
7,-0.2034174126038239,0.0004060482742773077,0.00014256216902247543,2.0685145447885783e-07,4.9399508661041035e-05,1.491611451191771e-07,3.50613606413086e-05,1.4869498117934335e-07,0.00010962949057264914,1.9603172216191627e-07,0.00010489023847403134,1.4399936799025558e-07,3.9332733876329405e-05,1.4486080157489617e-07,0.00021906167754998096,4.668561544947744e-07,0.00013659350305460493,9.786104339517542e-05,3.659141629084727e-08,3.817982601963532e-05,1.566903321949033e-08,2.244524469886544e-05,1.626465709419246e-08,8.726740964135616e-05,4.1510216928629387e-08,8.662813223523358e-05,2.3228454720379165e-08,2.9372485804124436e-05,1.4689720310102198e-08,0.0001154810838162379,1.2046866072045322e-07,4.0203942778604996e-05,4.033183927586448e-05,1.463993169188149e-08,4.033183927586448e-05,1.463993169188149e-08,5.703964476977408e-06,1.4830653996043557e-09,4.47690532158207e-05,1.3059609395639958e-08,4.255304486789901e-05,1.2935985951707177e-08,1.1223145918737299e-05,1.9735176254523446e-09,0.0,1.616357014945345e-09
8,-0.17958783342515816,0.000539247508784703,0.0003971308899675785,6.682870252667187e-07,0.0003350557852191627,7.698300786938598e-07,5.308890804976985e-05,2.4907466766647346e-07,0.00019956852418456794,2.7663076643641656e-07,0.0002447028415012875,2.8665788762737217e-07,0.00010958334501942613,2.3388184573575478e-07,0.0005485142777802987,1.264488303774069e-06,0.0001853920283893224,0.0003717109057197021,6.911511942442841e-07,0.0004149054404168906,1.3071932477497336e-06,4.623028122801021e-05,2.6624653815631335e-08,0.00018402451055381518,1.064489696130261e-07,0.00023703675407934499,2.009446398914019e-07,0.00010494919566501615,5.663122309213879e-08,0.0004364620990590651,1.0361839451279547e-06,5.582993834746562e-05,0.00026648144799457096,5.010647242213034e-07,0.00027766776680213654,5.516626309538987e-07,2.067865431722993e-05,3.3757714902666326e-09,0.00012466026633103366,6.806652866698203e-08,0.00016674950961159674,1.5348660018064688e-07,7.362480333846788e-05,3.509530408384679e-08,0.00029455971847554,8.378807576555028e-07
9,-0.15575825424649242,0.0007119186820632027,0.0008563838258905498,3.3425072381393682e-06,0.0009059290894232186,3.879014078424243e-06,0.0001263731109501731,4.475185059979947e-07,0.00041192277940620413,1.0379427886449032e-06,0.0004173005936610297,7.255785904661106e-07,0.0002080640139638823,4.029176588893649e-07,0.0005485142777802987,1.291103430105502e-06,0.00025012905324318376,0.0007885235505783794,1.7876025800908816e-06,0.0009247724748592479,2.7390098244720824e-06,9.84138092149145e-05,6.036150133053898e-08,0.00034193082528682917,3.9258938701669486e-07,0.0004037648807722838,3.629507055729027e-07,0.00019964961303271523,8.82057112108229e-08,0.0004364620990590651,1.0078677687048683e-06,7.706555678715988e-05,0.00027237202664445184,4.920081132679977e-07,0.00027766776680213654,5.426918554833075e-07,2.98113588302229e-05,4.746070492129323e-09,0.00017837323052555254,9.31905990509379e-08,0.00021037405652579722,1.653842633795494e-07,9.444296034822885e-05,3.374903840096541e-08,0.00029455971847554,8.281925601040354e-07
