,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,-0.20685910870467272,0.00038955594789431787,0.0,1.517538365398405e-07,0.0,1.517538365398405e-07,0.0,1.517538365398405e-07,0.0,1.517538365398405e-07,0.00013063384247731405,0.0,1.70652008003877e-08,0.0,1.70652008003877e-08,0.0,1.70652008003877e-08,0.0,1.70652008003877e-08,3.8322836265016636e-05,0.0,1.4686397793952742e-09,0.0,1.4686397793952742e-09,0.0,1.4686397793952742e-09,0.0,1.4686397793952742e-09
1,-0.1846085878340456,0.0005082087754310773,0.0009960343610053712,2.222142698547659e-06,0.0011674310936397407,3.160364781618166e-06,0.0012235582398289664,3.5059143887210633e-06,0.0016442320347265966,6.697546813702743e-06,0.00017392239339208404,0.000456017317188695,4.954811331837654e-07,0.0004775827639590761,5.48380213514464e-07,0.00042813876334157897,4.3123156410161154e-07,0.0007766708707269329,1.5697410098009427e-06,5.212418112549451e-05,2.7782337772933965e-06,2.450459685534024e-09,0.0,2.716930258003358e-09,0.0,2.716930258003358e-09,4.729550261909725e-06,2.290988326055324e-09
2,-0.16235806696341848,0.0006595903041932313,0.001820989259501841,3.050750748740964e-06,0.0020164794634691674,4.02629424208832e-06,0.0012235582398289664,3.3122493649319507e-06,0.0016442320347265966,6.3765173055500685e-06,0.0002303552324960432,0.0007510612558651412,5.920499106881927e-07,0.0005673629498802087,5.001108193241846e-07,0.00042813876334157897,4.057239264250402e-07,0.0007766708707269329,1.5048960594470885e-06,7.052589284584101e-05,2.7782337772933965e-06,4.605182475110749e-09,0.0,4.973901561703048e-09,0.0,4.973901561703048e-09,4.729550261909725e-06,4.37389598878191e-09
3,-0.14010754609279139,0.0008516692396649674,0.001820989259501841,2.6414845162055908e-06,0.0020164794634691674,3.5419289090065536e-06,0.0012235582398289664,3.1324909609496958e-06,0.0016442320347265966,6.035153752158231e-06,0.00030352013697254745,0.0007510612558651412,5.212082010149678e-07,0.0005673629498802087,4.56149647670726e-07,0.00042813876334157897,3.821354033894173e-07,0.0007766708707269329,1.4303068997237778e-06,9.492686307770809e-05,2.7782337772933965e-06,8.506807047787833e-09,0.0,9.011109333773939e-09,0.0,9.011109333773939e-09,4.729550261909725e-06,8.180292530550844e-09
4,-0.11785702522216426,0.0010940502839981547,0.001820989259501841,2.230343489455383e-06,0.0020164794634691674,3.0360216426673283e-06,0.0012235582398289664,3.010961843130192e-06,0.0016442320347265966,5.709697926876942e-06,0.00039785794437837254,0.0007510612558651412,4.4566772716055245e-07,0.0005673629498802087,4.152685646378765e-07,0.00042813876334157897,3.675225293483956e-07,0.0007766708707269329,1.3499345160402237e-06,0.00012710552826364731,2.7782337772933965e-06,1.5472713320139157e-08,0.0,1.6155815315180847e-08,0.0,1.6155815315180847e-08,4.729550261909725e-06,1.5020617283241623e-08
5,-0.09560650435153714,0.0013982295611926249,0.001820989259501841,1.880628977863533e-06,0.0020164794634691674,2.567378993192717e-06,0.0012235582398289664,3.0246996030136435e-06,0.0016442320347265966,5.467515185027161e-06,0.0005188288146078938,0.0007510612558651412,3.74847054687634e-07,0.0005673629498802087,3.888921800343304e-07,0.00042813876334157897,3.7483028675e-07,0.0007766708707269329,1.2729178087751577e-06,0.00016930830367336964,2.7782337772933965e-06,2.7747701345434626e-08,0.0,2.866530169275395e-08,0.0,2.866530169275395e-08,4.729550261909725e-06,2.713090336582999e-08
6,-0.07335598348091005,0.0017778701636288958,0.001820989259501841,1.703762471777934e-06,0.0020164794634691674,2.242080449498027e-06,0.0012235582398289664,3.3014512413734963e-06,0.0016442320347265966,5.424857117538836e-06,0.0006731010917821945,0.0007510612558651412,3.2699293509917305e-07,0.0005673629498802087,3.9771717240058354e-07,0.00042813876334157897,4.2661214370636113e-07,0.0007766708707269329,1.2171619819821262e-06,0.00022435434074997927,2.7782337772933965e-06,4.911140834701372e-08,0.0,5.033487021335781e-08,0.0,5.033487021335781e-08,4.729550261909725e-06,4.827978588828831e-08
7,-0.051105462610282926,0.0022490945346919215,0.001820989259501841,1.8851773419946084e-06,0.0020164794634691674,2.2392558228877294e-06,0.0012235582398289664,4.045914224587956e-06,0.0016442320347265966,5.772856611906631e-06,0.0008687633375814291,0.0007510612558651412,3.347689279556808e-07,0.0005673629498802087,4.77378811454145e-07,0.00042813876334157897,5.607556167753623e-07,0.0007766708707269329,1.2149163053228104e-06,0.0002957584428025516,2.7782337772933965e-06,8.585284004632658e-08,0.0,8.747305648899017e-08,0.0,8.747305648899017e-08,4.729550261909725e-06,8.474255358479233e-08
8,-0.028854941739655804,0.0028307889475047915,0.0018922135663143047,2.6861164146275574e-06,0.0020164794634691674,2.8482459873181267e-06,0.0012235582398289664,5.57738008020285e-06,0.0016442320347265966,6.8149152753040495e-06,0.0011155594059561946,0.0012934989677264586,1.0865048338238746e-06,0.0012246913266506325,8.708104331746723e-07,0.00042813876334157897,8.391527412440042e-07,0.0007766708707269329,1.3212807221812984e-06,0.00038787386012338767,0.0008857432866546574,1.802237805577723e-06,0.0009910196406148024,2.3280246886931815e-06,0.0,1.504461313670173e-07,4.729550261909725e-06,1.468442994705881e-07
9,-0.006604420869028682,0.003544913723541782,0.0018922135663143047,4.536610478150417e-06,0.0020164794634691674,4.521257338891483e-06,0.0012235582398289664,8.382880814270276e-06,0.0016442320347265966,9.019588850239673e-06,0.0014251455383130546,0.0012934989677264586,1.0721731657280924e-06,0.0012246913266506325,8.990825480334183e-07,0.00042813876334157897,1.3606281106903357e-06,0.0008359105615332041,1.468632338185658e-06,0.0005060564612563496,0.0008857432866546574,1.698525925084193e-06,0.0009910196406148024,2.199429141502043e-06,0.0,2.5609314197929923e-07,4.729550261909725e-06,2.513734089785869e-07
10,0.01564610000159844,0.004416811096138908,0.00332718529005512,8.796097596259293e-06,0.0032544664153026557,1.0280250832130177e-05,0.002253441654178845,1.4836165919983173e-05,0.004174806688734008,2.470089984289496e-05,0.001811367370283186,0.0022394026586040803,3.071289121137975e-06,0.0022350902824648244,3.500694944018367e-06,0.0015460382683035734,4.850868186475531e-06,0.002551475182092385,1.0492131778887526e-05,0.0006568514201519553,0.0011035381178002106,1.4665719131344258e-06,0.001064959719569029,1.995174369828699e-06,0.0,4.314537881556405e-07,0.00037549446180766094,3.6115391970520284e-07
11,0.037896620872225534,0.005475500817918322,0.0033714284250541127,1.2030991604234295e-05,0.0032544664153026557,1.386219949266418e-05,0.002253441654178845,2.0537663832214113e-05,0.004174806688734008,2.6334138927386108e-05,0.0022905534569572007,0.002348661432634125,2.9948907018526877e-06,0.0022350902824648244,3.324230001435451e-06,0.0015460382683035734,5.334771520254171e-06,0.002551475182092385,1.0012452352434044e-05,0.0008482030478504638,0.0011035381178002106,1.3322389052247641e-06,0.001064959719569029,1.8756054405101128e-06,0.0,7.194484103828161e-07,0.00037549446180766094,5.054455890150357e-07
12,0.06014714174285263,0.006753951809894414,0.004057010542730184,2.0456110044139825e-05,0.003924183309975311,2.3140389216093737e-05,0.0026855603569581055,3.0976277876055095e-05,0.005306550857861765,4.5087551478367364e-05,0.0028818204549952717,0.0031767771166363312,7.3750264857847506e-06,0.003347406823627811,1.0970804974611868e-05,0.0030987406013108045,1.9251440978301644e-05,0.003961889447326339,2.7660520105260725e-05,0.001089687713015649,0.001760174812429775,1.998710320738749e-06,0.001701972150207583,1.940903228886915e-06,0.000418792415841233,8.008746749030203e-07,0.0014933256092296194,4.622966301622069e-06
13,0.08239766261347975,0.00828931644184299,0.004141542910416944,3.116196941610916e-05,0.003926542241299809,3.414809554913258e-05,0.0026855603569581055,4.5826551120614265e-05,0.005392450086293743,5.0487516750575205e-05,0.003607383472524214,0.004647247116797167,1.1727354087043892e-05,0.004847250516518353,1.7542410215362176e-05,0.0034111146599915174,1.751815772041369e-05,0.004544999880630137,2.363995270665517e-05,0.0013927689231854003,0.003936369564208435,1.675148811265142e-05,0.0042219702246995006,1.927184889391965e-05,0.0004268569752766682,1.291716500059927e-06,0.002074006158125289,3.864216451467294e-06
14,0.10464818348410687,0.010123112521354177,0.004387502540875203,4.802740368055288e-05,0.004005441555440877,5.285266177705245e-05,0.002685717357315857,6.974098072590093e-05,0.005969569616741666,6.072591846362238e-05,0.004492863351477935,0.005604520334324829,1.33552726738793e-05,0.0060450130566240086,1.5233281759446175e-05,0.004465143392432351,1.4205153890963854e-05,0.0060388135728377534,2.646492196204753e-05,0.0017710725694092975,0.005132635600280322,2.2279981063945575e-05,0.0059671788781907225,2.8164848544027408e-05,0.0018698316611913308,2.422804761025822e-06,0.0037683743000526126,6.272840172399981e-06
15,0.126898704354734,0.012301336867499978,0.0068829985234285145,4.886368008802432e-05,0.006600563116769043,6.335742828544319e-05,0.004256709009277067,7.943219511353391e-05,0.008177538796346862,4.178615097745981e-05,0.005567580838583692,0.006567589957569675,1.7881677728973165e-05,0.0078144451846797,2.4603832403839404e-05,0.005583063359351992,1.4132544507567791e-05,0.007098997712785808,2.1345771783893003e-05,0.0022406790709819393,0.005436651498138989,1.9133482085152103e-05,0.006740664897578112,3.056235772314096e-05,0.0033624961573645398,1.664457319936126e-06,0.0044969366191136935,5.484306994006211e-06
