,t,true_cdf_0.3,Standard_beran_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,NN_BCE_mise_0.7
0,-0.6162705397754579,5.896531860793759e-06,0.0,0.0,3.476908798535606e-11,3.476908798535606e-11,5.006366986555464e-07,0.0,0.0,2.506371040407255e-13,2.506371040407255e-13,2.3437183840382626e-08,0.0,0.0,5.493015863678946e-16,5.493015863678946e-16
1,-0.586736627099517,9.222310040347922e-06,0.0,0.0,8.50510024803023e-11,8.50510024803023e-11,8.217671048888977e-07,0.0,0.0,6.753011746774771e-13,6.753011746774771e-13,4.062501281331694e-08,0.0,0.0,1.650391666082163e-15,1.650391666082163e-15
2,-0.5572027144235762,1.4290599828854186e-05,0.0,0.0,2.0422124346844677e-10,2.0422124346844677e-10,1.336328805546983e-06,0.0,0.0,1.7857746765346348e-12,1.7857746765346348e-12,6.975814238599684e-08,0.0,0.0,4.866198429145022e-15,4.866198429145022e-15
3,-0.5276688017476353,2.1939939025679416e-05,3.77743371199224e-05,4.234157238251324e-05,1.420929746378115e-07,1.7837119921640335e-07,2.1528882421353653e-06,3.165496799684142e-09,0.0,4.623301935441338e-12,4.634927783124691e-12,1.1866250044659829e-07,0.0,0.0,1.4080789012238888e-14,1.4080789012238888e-14
4,-0.4981348890716945,3.33734792408526e-05,4.212959892723245e-05,4.319707263841066e-05,1.4536457462788905e-07,1.7812467336488193e-07,3.4362008535217336e-06,7.570832230038293e-06,8.301324966062395e-06,1.1413695637111645e-08,1.3737156674872516e-08,1.9996469934064565e-07,0.0,0.0,3.998588098239468e-14,3.998588098239468e-14
5,-0.46860097639575365,5.0298602982528056e-05,8.383466046574362e-05,0.00010362387351953106,3.20697630839342e-07,5.650692216281938e-07,5.433630262214247e-06,2.075497850180019e-05,2.17691914344198e-05,3.031921191656614e-08,3.788247309881137e-08,3.3382485613854843e-07,0.0,0.0,1.1143903457592285e-13,1.1143903457592285e-13
6,-0.43906706371981286,7.511149053350773e-05,0.00012044516800819582,0.00013707675527360576,4.145429519335387e-07,6.567039811672443e-07,8.512595151099456e-06,2.075497850180019e-05,2.17691914344198e-05,3.023434415479326e-08,3.779135988501973e-08,5.520951722117791e-07,0.0,0.0,3.048090791795547e-13,3.048090791795547e-13
7,-0.409533151043872,0.00011113757719442072,0.00012363049675108263,0.00013707675527360576,4.1292590138670457e-07,6.53537128092359e-07,1.3212968481373492e-05,3.155192500280679e-05,3.0367787954175827e-05,4.2186320143739626e-08,4.677928919125356e-08,9.045734331691431e-07,4.055295711791196e-08,0.0,1.0737953069062352e-12,8.182530959954112e-13
8,-0.37999923836793115,0.00016294013449308904,0.0002263058138179902,0.00024937416111343424,8.614192286958368e-07,1.1934670168520443e-06,2.031944445710205e-05,4.4408915221149646e-05,4.608631705658228e-05,6.304104595065018e-08,8.386324400782559e-08,1.4682945585231351e-06,4.055295711791196e-08,0.0,2.3657100042535974e-12,2.155888910588658e-12
9,-0.3504653256919903,0.0002367101100791515,0.00029200505670669063,0.0003260660790232789,1.034001046815892e-06,1.5297826215273321e-06,3.096015315573158e-05,5.306601331749872e-05,5.34136973339433e-05,6.93234762940701e-08,8.985954200715598e-08,2.361169425126104e-06,4.055295711791196e-08,0.0,5.712524715461268e-12,5.575121054150356e-12
10,-0.32093141301604944,0.0003407506052265284,0.00041302949437812706,0.0004626611675821979,1.6227690150857457e-06,2.528924443085334e-06,4.673921361899076e-05,7.10171305381424e-05,6.67870158580347e-05,9.537618314055805e-08,1.0734728115393802e-07,3.7617600101483914e-06,4.6107507041814877e-08,0.0,1.4139026692809364e-11,1.4150838373951562e-11
