,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,NN_MSEloss_cdf_0.3,RandomForest_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,NN_MSEloss_mise_0.3,RandomForest_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,NN_MSEloss_cdf_0.5,RandomForest_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,NN_MSEloss_mise_0.5,RandomForest_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,NN_MSEloss_cdf_0.7,RandomForest_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7,NN_MSEloss_mise_0.7,RandomForest_mise_0.7,KNN_mise_0.7
0,-0.7213749922058372,1.1130885369552604e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2389660911011993e-12,1.2389660911011993e-12,1.2389660911011993e-12,1.2389660911011993e-12,1.2389660911011993e-12,1.2389660911011993e-12,1.2389660911011993e-12,7.95363315388846e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.326028034663356e-15,6.326028034663356e-15,6.326028034663356e-15,6.326028034663356e-15,6.326028034663356e-15,6.326028034663356e-15,6.326028034663356e-15,3.0658614319016526e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.399506319622072e-18,9.399506319622072e-18,9.399506319622072e-18,9.399506319622072e-18,9.399506319622072e-18,9.399506319622072e-18,9.399506319622072e-18
1,-0.6873611049071047,1.9340418569861473e-06,3.4649334124631226e-06,3.4649334124631226e-06,1.0922417015274411e-06,2.6057016210628835e-06,3.4645865688093245e-06,2.337827180581842e-06,0.0,2.391490575962484e-09,2.391490575962484e-09,2.3811402247828573e-10,1.3515976335026268e-09,2.3910112255768985e-09,1.087784791914732e-09,3.740517904574435e-12,1.4614120609912593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1357252120107234e-14,2.1357252120107234e-14,2.1357252120107234e-14,2.1357252120107234e-14,2.1357252120107234e-14,2.1357252120107234e-14,2.1357252120107234e-14,5.999324272317345e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5991891724415894e-17,3.5991891724415894e-17,3.5991891724415894e-17,3.5991891724415894e-17,3.5991891724415894e-17,3.5991891724415894e-17,3.5991891724415894e-17
2,-0.6533472176083722,3.319151514011852e-06,4.003097557669921e-06,4.003097557669921e-06,1.3025787361142793e-06,3.1129870781615444e-06,3.934613243744001e-06,2.692210203447121e-06,0.0,2.4435198321323336e-09,2.4435198321323336e-09,2.498165749396492e-10,1.3997557098245158e-09,2.429754645347763e-09,1.111349710259823e-09,1.1016766772967139e-11,2.651990881995314e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.033055638186288e-14,7.033055638186288e-14,7.033055638186288e-14,7.033055638186288e-14,7.033055638186288e-14,7.033055638186288e-14,7.033055638186288e-14,1.1593529946544596e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3440993662142595e-16,1.3440993662142595e-16,1.3440993662142595e-16,1.3440993662142595e-16,1.3440993662142595e-16,1.3440993662142595e-16,1.3440993662142595e-16
3,-0.6193333303096397,5.626286051907168e-06,8.438872717687062e-06,8.438872717687062e-06,2.2521274790299196e-06,6.527723636940985e-06,7.224427174487569e-06,5.588606816281372e-06,1.3138756904118587e-08,6.330993165050109e-09,6.330993165050109e-09,4.3408815146252246e-10,3.6996904616111324e-09,4.55979388041594e-09,2.7647962119778505e-09,3.154177531506431e-11,4.753026147626225e-07,1.2992934892061548e-05,1.2992934892061548e-05,2.7832198559124557e-06,1.000415978928193e-05,9.63840637347002e-06,8.486428165280225e-06,1.7848168587712986e-05,3.375114618259053e-08,3.375114618259053e-08,1.5468427224947117e-09,2.0007358523860113e-08,1.857083907710231e-08,1.4396051270474104e-08,6.36946837372637e-08,2.2125734765502595e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89548138913369e-16,4.89548138913369e-16,4.89548138913369e-16,4.89548138913369e-16,4.89548138913369e-16,4.89548138913369e-16,4.89548138913369e-16
4,-0.5853194430109071,9.420176252094697e-06,8.438872717687062e-06,8.438872717687062e-06,2.2521274790299196e-06,6.527723636940985e-06,7.224427174487569e-06,5.588606816281372e-06,1.3138756904118587e-08,6.3240454779242655e-09,6.3240454779242655e-09,4.740841286006387e-10,3.707244154022298e-09,4.562061139380038e-09,2.779475716594479e-09,8.852670719558574e-11,8.413451772926106e-07,1.2992934892061548e-05,1.2992934892061548e-05,2.7832198559124557e-06,1.000415978928193e-05,9.63840637347002e-06,8.486428165280225e-06,1.7848168587712986e-05,3.374211619735665e-08,3.374211619735665e-08,1.5452871177701818e-09,2.0000516576421127e-08,1.856426489229873e-08,1.4390320431781134e-08,6.368209930766254e-08,4.1701700503867854e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.739031824914298e-15,1.739031824914298e-15,1.739031824914298e-15,1.739031824914298e-15,1.739031824914298e-15,1.739031824914298e-15,1.739031824914298e-15
5,-0.5513055557121747,1.557931052647795e-05,8.438872717687062e-06,8.438872717687062e-06,2.2521274790299196e-06,6.527723636940985e-06,7.224427174487569e-06,5.588606816281372e-06,1.3138756904118587e-08,6.374068373398827e-09,6.374068373398827e-09,6.003170133677895e-10,3.780809097110222e-09,4.627043901193593e-09,2.864608952877958e-09,2.4234005631954266e-10,1.470928031024156e-06,1.748213141865407e-05,1.748213141865407e-05,3.2237236904797407e-06,1.3444855729187189e-05,1.3899252152185793e-05,1.1124854628261627e-05,2.233736511430551e-05,3.774458222772491e-08,3.774458222772491e-08,1.5807511771140018e-09,2.2346931127015187e-08,2.217201086410006e-08,1.576558734924935e-08,6.767845179426003e-08,7.762284241424049e-08,1.0025792328887118e-05,1.0025792328887118e-05,9.84276018011765e-07,7.685154772485437e-06,9.51608143045346e-06,5.893785744897628e-06,1.0025792328887118e-05,2.0101751928703894e-08,2.0101751928703894e-08,1.9361307662780784e-10,1.1811133713601159e-08,1.8109689852931372e-08,6.946433121853189e-09,2.0101751928703894e-08
6,-0.5172916684134421,2.5450685917652936e-05,8.438872717687062e-06,8.438872717687062e-06,2.2521274790299196e-06,6.527723636940985e-06,7.224427174487569e-06,5.588606816281372e-06,1.3138756904118587e-08,6.6124843096480945e-09,6.6124843096480945e-09,9.608763190178112e-10,4.056956373368653e-09,4.889436333141035e-09,3.1592969784821792e-09,6.47103158314983e-10,2.53997616654437e-06,1.748213141865407e-05,1.748213141865407e-05,3.2237236904797407e-06,1.3444855729187189e-05,1.3899252152185793e-05,1.1124854628261627e-05,2.233736511430551e-05,3.7711491597383215e-08,3.7711491597383215e-08,1.5781463951666965e-09,2.232247258077029e-08,2.2146580774557438e-08,1.574608918870691e-08,6.763498020685813e-08,1.4269573534323156e-07,1.0025792328887118e-05,1.0025792328887118e-05,9.84276018011765e-07,7.685154772485437e-06,9.51608143045346e-06,5.893785744897628e-06,1.0025792328887118e-05,2.0100461450849776e-08,2.0100461450849776e-08,1.9349931401916183e-10,1.1810147859861021e-08,1.8108465711802485e-08,6.945680407242961e-09,2.0100461450849776e-08
7,-0.48327778111470954,4.106988454402899e-05,2.5529805749971436e-05,2.5529805749971436e-05,1.0062682553853008e-05,1.8094401148359695e-05,1.859994993162084e-05,1.7238209064384114e-05,5.487918952955528e-06,2.957228542365193e-08,2.957228542365193e-08,6.149137850892608e-09,1.717076371236233e-08,1.782511631904093e-08,1.3938509782486675e-08,4.2886629280779565e-09,4.332086305522472e-06,2.37459375138388e-05,2.3009099775728183e-05,4.00863186531264e-06,1.8971824086261303e-05,1.9426220509259906e-05,1.4318077503839844e-05,2.4114016407730253e-05,4.3824938397551986e-08,4.3722736516440517e-08,1.6953229408499572e-09,2.8348187985221476e-08,2.8170667522135075e-08,1.7730198584434603e-08,6.818313841290076e-08,2.590743388790658e-07,1.0025792328887118e-05,1.0025792328887118e-05,9.84276018011765e-07,7.685154772485437e-06,9.51608143045346e-06,5.893785744897628e-06,1.0025792328887118e-05,2.009817463286879e-08,2.009817463286879e-08,1.9331697412240284e-10,1.1808405842140428e-08,1.810629753270663e-08,6.944355343574063e-09,2.009817463286879e-08
8,-0.44926389381597703,6.546837268250384e-05,7.426105089810508e-05,6.886676895105581e-05,3.0492394177493165e-05,5.4816837664982685e-05,6.192734479412209e-05,4.8480851092049806e-05,6.0210058254949185e-05,1.8195467961909147e-07,1.6897618886886158e-07,3.91070374507915e-08,1.1741939555177169e-07,1.614932532366528e-07,8.605989619918886e-08,2.738955017928549e-07,7.297977434857389e-06,2.6511173526272413e-05,2.3054621890240544e-05,4.00863186531264e-06,1.8971824086261303e-05,1.9426220509259906e-05,1.4318077503839844e-05,2.4114016407730253e-05,4.443376831282623e-08,4.362049506333765e-08,1.7060381123509597e-09,2.827014475857332e-08,2.8089928914846583e-08,1.7679760369200155e-08,6.807459282106993e-08,4.645541794154692e-07,1.0025792328887118e-05,1.0025792328887118e-05,9.84276018011765e-07,7.685154772485437e-06,9.51608143045346e-06,5.893785744897628e-06,1.0025792328887118e-05,2.0094203127523285e-08,2.0094203127523285e-08,1.9306116743650064e-10,1.1805396244458717e-08,1.810253549798949e-08,6.942081926336562e-09,2.0094203127523285e-08
9,-0.41525000651724453,0.00010309455673510038,7.426105089810508e-05,6.886676895105581e-05,3.0492394177493165e-05,5.4816837664982685e-05,6.192734479412209e-05,4.8480851092049806e-05,6.0210058254949185e-05,1.8270873948774018e-07,1.7013618122825339e-07,4.3154792386449774e-08,1.1963667851215595e-07,1.6317545369714023e-07,8.875397715346895e-08,2.7570693213212847e-07,1.2143814291835477e-05,2.6511173526272413e-05,2.3054621890240544e-05,4.00863186531264e-06,1.8971824086261303e-05,1.9426220509259906e-05,1.4318077503839844e-05,2.4114016407730253e-05,4.427104242014984e-08,4.34912689412931e-08,1.761399511187884e-09,2.818048778068548e-08,2.7995868075090244e-08,1.7635205984736825e-08,6.79350993930275e-08,8.227234758687043e-07,1.0025792328887118e-05,1.0025792328887118e-05,9.84276018011765e-07,7.685154772485437e-06,9.51608143045346e-06,5.893785744897628e-06,1.0025792328887118e-05,2.0087482328885868e-08,2.0087482328885868e-08,1.928171558708586e-10,1.180035213483485e-08,1.809617982493974e-08,6.938321043481292e-09,2.0087482328885868e-08
