,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,NN_MSEloss_cdf_0.3,RandomForest_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,NN_MSEloss_mise_0.3,RandomForest_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,NN_MSEloss_cdf_0.5,RandomForest_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,NN_MSEloss_mise_0.5,RandomForest_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,NN_MSEloss_cdf_0.7,RandomForest_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7,NN_MSEloss_mise_0.7,RandomForest_mise_0.7,KNN_mise_0.7
0,-0.7538584258361234,6.491790210502028e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2143340137175666e-13,4.2143340137175666e-13,4.2143340137175666e-13,4.2143340137175666e-13,4.2143340137175666e-13,4.2143340137175666e-13,4.2143340137175666e-13,4.397363295756107e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9336803954860983e-15,1.9336803954860983e-15,1.9336803954860983e-15,1.9336803954860983e-15,1.9336803954860983e-15,1.9336803954860983e-15,1.9336803954860983e-15,1.5960314476035349e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5473163817398618e-18,2.5473163817398618e-18,2.5473163817398618e-18,2.5473163817398618e-18,2.5473163817398618e-18,2.5473163817398618e-18,2.5473163817398618e-18
1,-0.7204590387088944,1.1299556473811982e-06,1.9194761232624868e-07,1.9194761232624868e-07,4.805845683788501e-08,2.543387799973651e-08,2.5361955516967072e-08,1.7411203435085953e-07,1.5261103150576716e-08,3.6928187396544864e-10,3.6928187396544864e-10,2.4264344652015113e-11,7.688142957943298e-12,7.651771871765813e-12,3.040333270700341e-10,3.5713237193945467e-12,8.086326011179619e-08,1.3685667071633435e-07,1.3685667071633435e-07,3.4258099216633034e-08,2.0861099985236553e-08,2.0802107159945126e-08,1.2413690364627694e-07,1.2517182264581983e-08,1.8728188870934584e-10,1.8728188870934584e-10,1.1737172043024884e-11,4.355019999668838e-12,4.330451237371228e-12,1.5408617110627092e-10,1.5713130249525317e-12,3.1223018166485447e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.748768634246113e-18,9.748768634246113e-18,9.748768634246113e-18,9.748768634246113e-18,9.748768634246113e-18,9.748768634246113e-18,9.748768634246113e-18
2,-0.6870596515816654,1.943427298410722e-06,2.970312464162228e-06,2.555103512533641e-06,1.1281017355204703e-06,2.3885897782071286e-06,3.384108734149871e-06,3.0988238050048244e-06,2.8435914080276683e-06,5.787443401176788e-08,5.614027161748692e-08,1.1679302329348529e-08,5.5778948794884195e-08,9.885864141340017e-08,7.463542676692473e-08,7.992534476250392e-08,1.469230982916985e-07,4.912894295045378e-07,2.0390149834019765e-07,3.494774456789251e-08,8.790592760909988e-08,1.8502434431545421e-07,2.7621594078861553e-07,1.4600276228415865e-08,1.0696534816158826e-09,2.288533370302029e-10,1.1752246861465434e-11,4.5941793617907904e-11,2.7398392608338665e-10,3.8532046524332006e-10,1.627487484242894e-12,6.034786781715371e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6418651500764674e-17,3.6418651500764674e-17,3.6418651500764674e-17,3.6418651500764674e-17,3.6418651500764674e-17,3.6418651500764674e-17,3.6418651500764674e-17
3,-0.6536602644544365,3.3028798436634496e-06,2.970312464162228e-06,2.555103512533641e-06,1.1281017355204703e-06,2.3885897782071286e-06,3.384108734149871e-06,3.0988238050048244e-06,2.8435914080276683e-06,5.787349011965805e-08,5.6140456639109306e-08,1.1683367233398363e-08,5.577958655154648e-08,9.885657244859015e-08,7.463413346467609e-08,7.992474541291867e-08,2.6376356439909777e-07,4.912894295045378e-07,2.0390149834019765e-07,3.494774456789251e-08,8.790592760909988e-08,1.8502434431545421e-07,2.7621594078861553e-07,1.4600276228415865e-08,1.0695866614641188e-09,2.288536739592002e-10,1.1792065061028576e-11,4.5969236499879044e-11,2.7398867424338807e-10,3.8530390366604737e-10,1.6720604991758166e-12,1.152410523071852e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3280500136870103e-16,1.3280500136870103e-16,1.3280500136870103e-16,1.3280500136870103e-16,1.3280500136870103e-16,1.3280500136870103e-16,1.3280500136870103e-16
4,-0.6202608773272075,5.5468043295150485e-06,4.816757634000301e-06,5.017815815500504e-06,1.734322199557714e-06,4.85125076299392e-06,5.846819877384146e-06,5.330209352953208e-06,4.573927157715241e-06,9.195313174097705e-08,1.1677104624875055e-07,1.536646984377243e-08,1.1640839640704986e-07,1.5948338449912487e-07,1.2440614495234e-07,1.0985326422595296e-07,4.678770013303548e-07,1.2698296274606168e-06,1.0861581990995073e-06,2.5081258171857357e-07,9.701440950727557e-07,1.067280626243261e-06,1.0749939422526222e-06,6.330004030476566e-07,7.130055317815974e-09,8.011863058666493e-09,4.777014189184132e-10,7.828698972008294e-09,8.056998375167945e-09,6.765055979082793e-09,3.825423936051292e-09,2.174280592542968e-08,8.630487950754829e-08,7.169205012091951e-10,1.7482575259686327e-10,7.169053742095421e-10,7.169201593604236e-10,6.488132745396946e-10,5.018448905214079e-10,7.448204199724779e-11,5.581323933407349e-15,7.707876424024918e-16,5.5811076963789866e-15,5.581319046706168e-15,4.654122219479314e-15,2.9694095188167772e-15
5,-0.5868614901999785,9.20506781716818e-06,8.41904689161892e-06,8.92693371810822e-06,2.8942519217338147e-06,8.801445570156108e-06,9.797013603504068e-06,8.922691930365533e-06,7.884287914867782e-06,1.3633084839975313e-07,1.7627561737217616e-07,2.0642494699741434e-08,1.767720505843409e-07,2.1983970967742002e-07,1.7252743014946838e-07,1.6784508320014257e-07,8.200632977160354e-07,2.4152629952167715e-06,2.012095900295563e-06,5.018705022701409e-07,1.867436079018525e-06,1.964572500238826e-06,1.984172265744322e-06,9.178165525730142e-07,1.0270878892995296e-08,1.0323275620726065e-08,6.461725730167147e-10,9.679593424858666e-09,9.90782399489032e-09,8.749664212339193e-09,4.20213139176671e-09,4.05314506687287e-08,2.3977074386950513e-07,1.5418278486316605e-07,3.120552147420908e-08,1.9445309989762904e-09,1.944545784127172e-09,1.3693821932053707e-07,1.6067086309967671e-09,3.0998524379805957e-10,2.355119992882626e-10,9.628459598496456e-12,2.1695349070341013e-14,2.1695559865082302e-14,1.857427737795155e-10,1.6238275821677948e-14
6,-0.5534621030727495,1.509573233824752e-05,1.5002870637232124e-05,1.6068871265182772e-05,4.843423501450961e-06,1.5935627324746693e-05,1.6359392136664676e-05,1.469893603330814e-05,1.2177776163254094e-05,2.3299696428793464e-07,3.179740740557681e-07,3.4059506661699316e-08,3.1921726880451307e-07,3.1846612070160827e-07,2.4902376256146524e-07,2.2135695782071115e-07,1.4202631142028904e-06,4.238624678064451e-06,3.5205292116195163e-06,8.359608538395791e-07,3.4936226622611756e-06,3.6714180258965333e-06,3.456269280988733e-06,1.8463433333234969e-06,1.7927767551129784e-08,1.6568354161433462e-08,9.768591046959862e-10,1.6632924599970655e-08,1.745392883689902e-08,1.427945170355462e-08,6.422690665779227e-09,7.465213697194203e-08,2.909316834266207e-07,2.053437244202816e-07,3.829088899498512e-08,5.310547055609183e-08,5.310548534124271e-08,1.77766759125364e-07,2.7190451048930697e-08,3.361395904731913e-10,2.6167218660319685e-10,1.0131226687331169e-11,2.6192271611409116e-11,2.61922718211949e-11,2.024009598209316e-10,6.5615177738687005e-12
7,-0.5200627159455204,2.446436397437995e-05,2.0335377692774226e-05,2.1378501514756265e-05,6.877616214287663e-06,2.1086550141475314e-05,2.154429646220082e-05,1.9367153403164374e-05,1.6484988897735153e-05,2.909087606524128e-07,3.7631610429915486e-07,4.444374187475292e-08,3.748545382113441e-07,3.757251250856839e-07,2.954271852160354e-07,2.703929585712365e-07,2.4305432490834873e-06,6.937372594250635e-06,5.866743532504115e-06,1.5136286209743721e-06,6.00688809218789e-06,5.853414312858907e-06,5.618653821416952e-06,3.4303205179988304e-06,2.9006128618838042e-08,2.5701549744085697e-08,1.9668993854669442e-09,2.6595574212201505e-08,2.6054740669429243e-08,2.249586639828226e-08,1.314532284886559e-08,1.3585371107039342e-07,5.442768080244909e-07,4.5868884901815175e-07,7.913708205330439e-08,2.1332554863989773e-07,2.133265659308048e-07,3.931707576585564e-07,7.0395693097558e-08,5.335913705006216e-10,4.59134442866282e-10,1.851171777043481e-11,1.2421119564999943e-10,1.2421085520687623e-10,3.436250272005764e-10,2.522626308617957e-11
8,-0.4866633288182915,3.9181069695753986e-05,3.080526828838247e-05,3.335611333848385e-05,1.025951493039452e-05,3.302431644505057e-05,3.34887487828321e-05,3.049608755424209e-05,2.7342962005797332e-05,4.77243553203047e-07,6.459395590498343e-07,7.133287814698796e-08,6.436249323818521e-07,6.443745115537226e-07,5.363551456492467e-07,4.985130618997668e-07,4.110160485469215e-06,1.1822071986715853e-05,1.0633024925122992e-05,2.6637465486164412e-06,1.074396553297644e-05,1.0599307830987026e-05,9.925120871220872e-06,7.551301574193381e-06,6.677455735132012e-08,6.413526651092465e-08,4.1415571804177185e-09,6.456761726166137e-08,6.415450159556521e-08,5.410804394948565e-08,4.371671892808393e-08,2.4427884361305894e-07,1.9817343075286596e-06,1.8130596788296316e-06,3.913351586688263e-07,1.5609271204132247e-06,1.563783278924158e-06,1.6033090054076049e-06,8.983537510406037e-07,6.488531870442133e-09,6.344905591583584e-09,4.04179472568008e-10,5.985143437274599e-09,5.9949790542000385e-09,5.079558548315084e-09,3.2098800546879813e-09
9,-0.4532639416910625,6.201431382993678e-05,5.861691722655483e-05,6.393423761800972e-05,1.977679348685574e-05,6.35917015819011e-05,6.507137137001444e-05,5.837574638574122e-05,5.424550771532493e-05,1.0009038635946774e-06,1.3995686437589618e-06,1.3906776182899916e-07,1.3772104135882846e-06,1.4232536038753513e-06,1.1277948280659465e-06,1.2057647773391615e-06,6.868205749382869e-06,2.1416820159721086e-05,1.956058023502899e-05,4.870528932291818e-06,1.8899700124999896e-05,1.967086335873586e-05,1.7445762141440446e-05,1.4246301966496655e-05,1.2659454301084982e-07,1.4309535544884209e-07,8.240604452384169e-09,1.1981185306109774e-07,1.4568015315006837e-07,9.886575264762341e-08,1.3632204950514084e-07,4.340017941367324e-07,4.518682845439503e-06,3.661939229648381e-06,8.263359987911723e-07,4.068503453656214e-06,3.470998882109444e-06,3.834784211756858e-06,1.8362540504615166e-06,2.2318378849460252e-08,1.6881501030679568e-08,9.873863959507378e-10,2.177055483631095e-08,1.6659348611474814e-08,1.7620403711329052e-08,7.568475949245996e-09
